,Match_num,Team_name,Date,Opponent,Score,Location,Record,Home Record,Spread,Over/Under,Money Line
159,78,Boston Celtics,Mar-31,Utah,W 122-114,Home,54-24,09-Apr,-13,Ov 233.0,1.141643059
160,79,Boston Celtics,04-Apr,Philadelphia,L 101-103,Away,54-25,09-May,3.5,Un 227.0,2.4
161,80,Boston Celtics,04-May,Toronto,W 97-93,Home,55-25,10-May,1,Un 223.0,2.04
162,81,Boston Celtics,04-Jul,Toronto,W 121-102,Home,56-25,11-May,1.5,Ov 222.5,2.08
163,82,Boston Celtics,04-Sep,Atlanta,W 120-114,Home,57-25,11-May,-4.5,Ov 225.0,1.555555556
164,1,Brooklyn Nets,Oct-19,New Orleans,L 108-130,Home,0-1,0-0,-2.5,Ov 232.0,1.689655172
165,2,Brooklyn Nets,Oct-21,Toronto,W 109-105,Home,01-Jan,1-0,-2.5,Un 226.0,1.689655172
166,3,Brooklyn Nets,Oct-24,Memphis,L 124-134,Away,01-Feb,1-0,1,Ov 235.5,2
167,4,Brooklyn Nets,Oct-26,Milwaukee,L 99-110,Away,01-Mar,1-0,3,Un 230.5,2.3
168,5,Brooklyn Nets,Oct-27,Dallas,L 125-129,Home,01-Apr,1-0,2.5,Ov 225.5,2.25
169,6,Brooklyn Nets,Oct-29,Indiana,L 116-125,Home,01-May,1-0,-11,Ov 239.5,1.15503876
170,7,Brooklyn Nets,Oct-31,Indiana,W 116-109,Home,02-May,1-0,-8,Un 236.5,1.307692308
171,8,Brooklyn Nets,11-Jan,Chicago,L 99-108,Home,02-Jun,1-0,-2,Un 232.5,1.775193798
172,9,Brooklyn Nets,11-Apr,Washington,W 128-86,Away,03-Jun,1-0,3,Un 223.0,2.3
173,10,Brooklyn Nets,11-May,Charlotte,W 98-94,Away,04-Jun,1-0,-3.5,Un 223.5,1.598802395
174,11,Brooklyn Nets,11-Jul,Dallas,L 94-96,Away,04-Jul,1-0,6,Un 216.0,2.97
175,12,Brooklyn Nets,11-Sep,New York,W 112-85,Home,05-Jul,2-0,-3,Un 220.5,1.666666667
176,13,Brooklyn Nets,11-Dec,LA Clippers,W 110-95,Away,06-Jul,2-0,1.5,Un 212.5,2.05
177,14,Brooklyn Nets,Nov-13,LA Lakers,L 103-116,Away,06-Aug,2-0,-5,Ov 217.5,1.537634409
178,15,Brooklyn Nets,Nov-15,Sacramento,L 121-153,Away,06-Sep,2-0,1.5,Ov 226.0,2.06
179,16,Brooklyn Nets,Nov-17,Portland,W 109-107,Away,07-Sep,2-0,3,Un 220.5,2.28
180,17,Brooklyn Nets,Nov-20,Memphis,W 127-115,Home,08-Sep,2-0,-7.5,Ov 223.5,1.343642612
181,18,Brooklyn Nets,Nov-22,Philadelphia,L 106-115,Away,08-Oct,02-Jan,-8,Ov 217.0,1.333333333
182,19,Brooklyn Nets,Nov-23,Toronto,W 112-98,Away,09-Oct,03-Jan,-2.5,Un 222.5,1.729927007
183,20,Brooklyn Nets,Nov-25,Indiana,L 117-128,Away,09-Nov,03-Jan,-3.5,Ov 233.5,1.609756098
184,21,Brooklyn Nets,Nov-27,Portland,W 111-97,Home,10-Nov,03-Jan,-8,Un 224.0,1.330033003
185,22,Brooklyn Nets,Nov-28,Orlando,W 109-102,Home,11-Nov,03-Jan,-12,Un 223.5,1.153846154
186,23,Brooklyn Nets,Nov-30,Washington,W 113-107,Home,12-Nov,03-Jan,-6,Un 228.0,1.465116279
187,24,Brooklyn Nets,12-Feb,Toronto,W 114-105,Home,13-Nov,04-Jan,-1.5,Un 223.0,1.826446281
188,25,Brooklyn Nets,12-Apr,Boston,L 92-103,Home,13-Dec,04-Feb,2.5,Un 230.5,2.14
189,26,Brooklyn Nets,12-Jul,Charlotte,W 122-116,Home,14-Dec,04-Feb,-10.5,Ov 223.5,1.222222222
190,27,Brooklyn Nets,12-Sep,Atlanta,W 120-116,Home,15-Dec,04-Feb,-7.5,Ov 232.5,1.338983051
191,28,Brooklyn Nets,12-Oct,Indiana,W 136-133,Away,16-Dec,04-Feb,8,Ov 225.0,3.5
192,29,Brooklyn Nets,12-Dec,Washington,W 112-100,Away,17-Dec,04-Feb,-6,Un 227.5,1.487804878
193,30,Brooklyn Nets,Dec-16,Toronto,W 119-116,Away,18-Dec,05-Feb,-1,Ov 224.0,1.884955752
194,31,Brooklyn Nets,Dec-18,Detroit,W 124-121,Away,19-Dec,05-Feb,-8,Ov 228.5,1.285714286
195,32,Brooklyn Nets,Dec-21,Golden State,W 143-113,Home,20-Dec,05-Feb,-10.5,Ov 223.5,1.194174757
196,33,Brooklyn Nets,Dec-23,Milwaukee,W 118-100,Home,21-Dec,05-Feb,-2.5,Un 230.5,1.81300813
197,34,Brooklyn Nets,Dec-26,Cleveland,W 125-117,Away,22-Dec,05-Feb,2,Ov 219.5,2.17
198,35,Brooklyn Nets,Dec-28,Atlanta,W 108-107,Away,23-Dec,05-Feb,-7.5,Un 230.5,1.340136054
199,36,Brooklyn Nets,Dec-31,Charlotte,W 123-106,Away,24-Dec,05-Feb,-6,Un 237.5,1.440528634
200,37,Brooklyn Nets,01-Feb,San Antonio,W 139-103,Home,25-Dec,05-Feb,-12,Ov 237.5,1.151975684
201,38,Brooklyn Nets,01-Apr,Chicago,L 112-121,Away,25-13,05-Feb,-5,Un 235.0,1.523560209
202,39,Brooklyn Nets,01-Jun,New Orleans,W 108-102,Away,26-13,05-Feb,-4.5,Un 231.5,1.584795322
203,40,Brooklyn Nets,01-Aug,Miami,W 102-101,Away,27-13,05-Feb,-2,Un 223.5,1.8
204,41,Brooklyn Nets,01-Dec,Boston,L 98-109,Home,27-14,05-Mar,1,Un 225.5,2.02
205,42,Brooklyn Nets,Jan-15,Okla City,L 102-112,Home,27-15,05-Mar,-4.5,Un 230.5,1.552486188
206,43,Brooklyn Nets,Jan-17,San Antonio,L 98-106,Away,27-16,05-Mar,-2.5,Un 228.0,1.775193798
207,44,Brooklyn Nets,Jan-19,Phoenix,L 112-117,Away,27-17,05-Mar,-4,Ov 221.5,1.606060606
208,45,Brooklyn Nets,Jan-20,Utah,W 117-106,Away,28-17,05-Mar,4.5,Un 232.5,2.71
209,46,Brooklyn Nets,Jan-22,Golden State,W 120-116,Away,29-17,05-Mar,7.5,Pu 236.0,3.51
210,47,Brooklyn Nets,Jan-25,Philadelphia,L 133-137,Away,29-18,05-Apr,7,Ov 225.5,3.25
211,48,Brooklyn Nets,Jan-26,Detroit,L 122-130,Home,29-19,05-Apr,-7.5,Ov 235.0,1.33557047
212,49,Brooklyn Nets,Jan-28,New York,W 122-115,Home,30-19,06-Apr,1,Ov 222.5,1.99009901
213,50,Brooklyn Nets,Jan-30,LA Lakers,W 121-104,Home,31-19,06-Apr,-9,Un 231.0,1.27100271
214,51,Brooklyn Nets,02-Jan,Boston,L 96-139,Away,31-20,06-May,9,Ov 224.0,3.92
215,52,Brooklyn Nets,02-Apr,Washington,W 125-123,Home,32-20,06-May,1,Ov 222.5,2.05
216,53,Brooklyn Nets,02-Jun,LA Clippers,L 116-124,Home,32-21,06-May,8.5,Ov 221.5,3.8
217,54,Brooklyn Nets,02-Jul,Phoenix,L 112-116,Home,32-22,06-May,7,Ov 223.5,3.2
218,55,Brooklyn Nets,02-Sep,Chicago,W 116-105,Home,33-22,06-May,2.5,Un 227.0,2.26
219,56,Brooklyn Nets,02-Nov,Philadelphia,L 98-101,Home,33-23,06-Jun,1.5,Un 223.5,2.04
220,57,Brooklyn Nets,Feb-13,New York,L 106-124,Away,33-24,06-Jul,3,Ov 219.0,2.32
221,58,Brooklyn Nets,Feb-15,Miami,W 116-105,Home,34-24,06-Jul,-1,Ov 210.0,1.81300813
222,59,Brooklyn Nets,Feb-24,Chicago,L 87-131,Away,34-25,06-Jul,2,Un 222.5,2.11
223,60,Brooklyn Nets,Feb-26,Atlanta,L 127-129,Away,34-26,06-Jul,6.5,Ov 233.5,3.15
224,61,Brooklyn Nets,Feb-28,Milwaukee,L 104-118,Home,34-27,06-Jul,6,Un 232.0,3.05
225,62,Brooklyn Nets,03-Jan,New York,L 118-142,Away,34-28,06-Aug,8,Ov 224.0,3.5
226,63,Brooklyn Nets,03-Mar,Boston,W 115-105,Away,35-28,07-Aug,10.5,Un 227.5,4.95
227,64,Brooklyn Nets,03-May,Charlotte,W 102-86,Home,36-28,07-Aug,-8,Un 229.0,1.307692308
